"job_id","company_name","job_title","job_title_short","salary_average"
226942,"Mantys","Data Analyst","Data Analyst","650000.0"
547382,"Meta","Director of Analytics","Data Analyst","336500.0"
552322,"AT&T","Associate Director- Data Insights","Data Analyst","255829.5"
99305,"Pinterest Job Advertisements","Data Analyst, Marketing","Data Analyst","232423.0"
1021647,"Uclahealthcareers","Data Analyst (Hybrid/Remote)","Data Analyst","217000.0"
168310,"SmartAsset","Principal Data Analyst (Remote)","Data Analyst","205000.0"
731368,"Inclusively","Director, Data Analyst - HYBRID","Data Analyst","189309.0"
310660,"Motional","Principal Data Analyst, AV Performance Analysis","Data Analyst","189000.0"
1749593,"SmartAsset","Principal Data Analyst","Data Analyst","186000.0"
387860,"Get It Recruit - Information Technology","ERM Data Analyst","Data Analyst","184000.0"
